文件名	原始清晰度	增强后清晰度	原始对比度	增强后对比度	原始熵	增强后熵
1.jpg	100.7463	104.4819	41.4229	38.4289	7.3219	7.0373
2.jpg	560.6680	754.6699	48.2935	44.8620	7.4679	7.1834
3.jpg	15.5121	16.4709	50.5645	41.4933	7.3586	6.2797
5.jpg	3957.3677	2327.8213	94.5641	70.5023	5.8464	3.9638
6.jpg	503.1130	258.7454	56.6044	44.9928	7.1535	6.8392
4.jpg	205.5504	256.2996	59.8370	58.7285	7.6519	7.2393
4.jpg	205.5504	256.2996	59.8370	58.7285	7.6519	7.2393
4.jpg	205.5504	256.2996	59.8370	58.7285	7.6519	7.2393
1.jpg	100.7463	104.4819	41.4229	38.4289	7.3219	7.0373
7.jpg	91.9630	464.7458	10.5252	10.8414	5.4034	3.6950
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373    （尺寸为15的局部对比度）（自此以后对比度都采用局部对比度）
7.jpg	91.9630	464.7458	6.6250	5.0195	5.4034	3.6950
1.jpg	100.7463	96.0269	9.6719	9.8906	7.3219	6.7157         (opencv的BGR图像格式未转换成PIL的RGB格式导致的)
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
4.jpg	205.5504	256.2996	9.9766	9.2422	7.6519	7.2393
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
1.jpg	100.7463	559.7728	9.6719	10.5547	7.3219	7.8408    （CLAHE）
7.jpg	91.9630	464.7458	6.6250	5.0195	5.4034	3.6950
7.jpg	91.9630	1327.6008	6.6250	10.5391	5.4034	6.5150      （CLAHE）
3.jpg	15.5121	16.4709	9.9922	8.0938	7.3586	6.2797
3.jpg	15.5121	200.8826	9.9922	10.1328	7.3586	7.6131    （CLAHE）
3.jpg	15.5121	16.4709	9.9922	8.0938	7.3586	6.2797	16.4992  (add PSNR)
DSC_0015_JPG.rf.2a587e8dd443a5d44973c3aa4cbc7576.jpg	8.3775	8.3979	5.9062	6.0781	4.9938	5.0045	54.7562	0.9999
DSC_0018_JPG.rf.da0ec460ac7f44a810d4e406651390c5.jpg	4.4865	26.8726	10.1328	10.0781	4.8689	5.1949	35.7035	0.9610
DSC_0022_JPG.rf.c43a22817e052e26b61b23e7caa2b413.jpg	8.3829	8.4520	6.7227	6.7734	5.6279	5.6775	40.6346	0.9995
DSC_0034_JPG.rf.82233b32220e9cd2803e357b57086c66.jpg	9.1614	32.9821	9.4141	9.3984	6.8394	6.9877	29.6427	0.9624
DSC_0035_JPG.rf.ca026ef613f20df39c5f2ad88c644927.jpg	29.1038	29.1248	6.9922	6.9609	5.5830	5.5799	55.0532	0.9998
DSC_0039_JPG.rf.6fce07eed9675030ea42be7098d9c51f.jpg	23.9480	23.9619	7.3750	7.3984	6.0273	6.0393	56.0394	0.9999
DSC_0047_JPG.rf.e37a9fd11236c62e8f96dbdc1c73e465.jpg	1.0235	5.7328	9.3750	8.9453	4.7003	4.8637	36.5596	0.9868
DSC_0051_JPG.rf.bc06ad05f8653da24bd69bb003bb1c5d.jpg	5.8399	27.3557	10.2578	10.5156	4.9054	5.1231	35.9304	0.9692
DSC_0055_JPG.rf.2eeb6978ac3f66ab64800ceb0f89dc87.jpg	121.7584	388.1865	9.9531	10.1719	7.1757	7.0186	30.0067	0.9354
DSC_0079_JPG.rf.3e06fc592e25cf9cd3caf53788c6abb1.jpg	5.7911	5.8023	7.8672	7.9414	5.5638	5.5452	49.3326	0.9998
DSC_0086_JPG.rf.59b917e73ba3506b65b04669285a7977.jpg	4.0397	4.0709	7.1914	7.3828	5.2948	5.2870	46.4645	0.9997
DSC_0096_JPG.rf.1eb618747bd6887873339ae0757002e1.jpg	32.6893	32.7415	9.5625	9.5938	7.1557	7.1717	52.4097	0.9997
DSC_0106_JPG.rf.e84bbd646edeaf9144903093026e97de.jpg	6.1559	6.1776	8.8438	8.8750	6.5368	6.5530	51.2344	0.9998
DSC_0107_JPG.rf.159cfe7fbc8abba4ab8ef65eb0da44e9.jpg	4.8666	32.2678	8.8047	9.2812	6.5490	6.5504	34.4772	0.9426
DSC_0135_JPG.rf.be274a53e221e02d433764767447eff9.jpg	41.4236	41.4491	8.0625	8.0234	6.0946	6.0972	52.5784	0.9999
DSC_0139_JPG.rf.01011c0deed3e33bb5da30cbf7a61709.jpg	30.8920	30.9065	8.1094	8.1016	6.3264	6.3343	52.2974	0.9998
DSC_0144_JPG.rf.640ada2bf0d75da96f7c23d53d4c7308.jpg	15.2821	15.3122	7.0977	7.1523	6.0179	6.0254	50.6635	0.9998
DSC_0154_JPG.rf.103561362c78b2f22fdb1cd221a528e8.jpg	42.1584	42.1813	8.4297	8.4844	6.1128	6.1319	53.9370	0.9999
DSC_0160_JPG.rf.86f6848ed3d81e9b8cc42df19c0ab98a.jpg	62.4372	62.4641	8.9219	8.9375	6.3647	6.3819	55.6119	0.9999
DSC_0202_JPG.rf.12bf801f41d2a61e70088cf988bb9f85.jpg	9.9143	9.9428	9.6406	9.5859	6.4785	6.4680	50.6928	0.9998
DSC_0205_JPG.rf.a2fc30f75d9c6f2a3411d3cca370c1e7.jpg	135.6039	502.2874	8.8359	9.6953	6.5963	6.6239	30.5006	0.8843
DSC_0207_JPG.rf.767ff4daf553296d25b10b7940deacd2.jpg	86.5311	86.5684	9.8281	9.8281	6.9968	6.9940	52.0096	0.9998
DSC_0211_JPG.rf.e714585a04bd5ff32da1a375842bb1b5.jpg	23.7627	23.7869	7.6914	7.7266	6.2112	6.2244	54.3943	0.9998
DSC_0215_JPG.rf.29f04afc0d9c791521d669c6f5235176.jpg	15.8681	15.8865	8.8281	8.8203	6.8043	6.8131	53.6682	0.9998
DSC_0229_JPG.rf.b44f38bdfefadd79a6128c89f2fe4f77.jpg	85.5515	85.5637	8.4531	8.4297	6.4140	6.4184	57.7687	0.9999
DSC_0250_JPG.rf.d2d2b03cefbde436cc378b9c4bfd5db8.jpg	3.1633	13.9489	8.7891	8.7656	6.2654	6.1868	30.6947	0.9745
DSC_0262_JPG.rf.c35f42fd6cb59b435a17254c2242870e.jpg	6.8791	33.9342	9.1562	9.7266	6.2934	6.4851	32.5149	0.9548
DSC_0278_JPG.rf.4ff3f4725c119c8c0bd63f3871d4338d.jpg	82.4340	295.2845	10.5469	10.8203	5.9440	6.1957	30.6603	0.9016
DSC_0280_JPG.rf.591048606dfc0f6c328cda12f5d770fa.jpg	50.4484	235.2109	6.4375	8.6094	5.7125	6.1278	30.5057	0.8758
DSC_0281_JPG.rf.6a56017fecafef036b18f774525c6197.jpg	54.2210	54.2458	7.7539	7.7578	5.8787	5.8745	54.3971	0.9998
DSC_0296_JPG.rf.4cb0eee3a70f090060e9d77a44f9611b.jpg	37.0878	208.0142	8.6562	9.7422	6.7196	6.6398	29.0202	0.8581
DSC_0324_JPG.rf.50b2c77efaac9acfd2d5ee885a23b30d.jpg	19.0775	19.1218	8.0234	7.9570	6.5969	6.5981	45.6442	0.9994
DSC_0361_JPG.rf.c448f1e0bb691b3b00e09684427f3945.jpg	27.0544	176.2193	9.8672	10.3203	6.2436	6.3849	27.9245	0.8588
